0ad: 48 total files, 0 missing files
0ad-data: 70 total files, 0 missing files
a52dec: 20 total files, 0 missing files
aalib: 88 total files, 0 missing files
aarch64-linux-gnu-binutils: 319 total files, 0 missing files
aarch64-linux-gnu-gcc: 1426 total files, 0 missing files
aarch64-linux-gnu-glibc: 800 total files, 0 missing files
aarch64-linux-gnu-linux-api-headers: 951 total files, 0 missing files
accounts-qml-module: 9 total files, 0 missing files
accountsservice: 294 total files, 0 missing files
acl: 97 total files, 0 missing files
acme.sh: 190 total files, 0 missing files
adobe-source-code-pro-fonts: 23 total files, 0 missing files
adwaita-icon-theme: 6158 total files, 0 missing files
afpfs-ng: 31 total files, 0 missing files
alacritty: 27 total files, 0 missing files
alsa-card-profiles: 79 total files, 0 missing files
alsa-lib: 158 total files, 0 missing files
alsa-plugins: 78 total files, 0 missing files
alsa-topology-conf: 18 total files, 0 missing files
alsa-ucm-conf: 430 total files, 0 missing files
alsa-utils: 103 total files, 0 missing files
amd-ucode: 7 total files, 0 missing files
amdvlk: 12 total files, 0 missing files
android-emulator: 316 total files, 0 missing files
android-studio: 3903 total files, 0 missing files
android-tools: 25 total files, 0 missing files
android-udev: 7 total files, 0 missing files
ansible: 71627 total files, 0 missing files
ansible-core: 2530 total files, 0 missing files
antlr4-runtime: 192 total files, 0 missing files
aom: 27 total files, 0 missing files
apparmor: 784 total files, 0 missing files
appstream-glib: 204 total files, 0 missing files
apr: 66 total files, 0 missing files
apr-util: 66 total files, 0 missing files
arandr: 152 total files, 0 missing files
archlinux-keyring: 7 total files, 0 missing files
arcus: 26 total files, 0 missing files
argon2: 14 total files, 0 missing files
argyllcms: 347 total files, 0 missing files
aribb24: 18 total files, 0 missing files
arm-none-eabi-binutils: 77 total files, 0 missing files
arm-none-eabi-gcc: 2325 total files, 0 missing files
arm-none-eabi-newlib: 970 total files, 0 missing files
arp-scan: 19 total files, 0 missing files
asciiquarium: 7 total files, 0 missing files
aspell: 226 total files, 0 missing files
at-spi2-atk: 17 total files, 0 missing files
at-spi2-core: 324 total files, 0 missing files
atk: 404 total files, 0 missing files
atkmm: 61 total files, 0 missing files
atool: 19 total files, 0 missing files
atop: 40 total files, 0 missing files
attica: 114 total files, 0 missing files
attr: 72 total files, 0 missing files
audiofile: 59 total files, 0 missing files
audit: 199 total files, 0 missing files
autoconf: 78 total files, 0 missing files
autoconf-archive: 591 total files, 0 missing files
autofs: 55 total files, 0 missing files
autokey-patched: 267 total files, 0 missing files
automake: 137 total files, 0 missing files
avahi: 318 total files, 0 missing files
avr-binutils: 156 total files, 0 missing files
avr-gcc: 1010 total files, 0 missing files
avr-libc: 971 total files, 0 missing files
avrdude: 15 total files, 0 missing files
babl: 53 total files, 0 missing files
barrier: 14 total files, 0 missing files
barrier-headless: 18 total files, 0 missing files
bash: 250 total files, 0 missing files
bat: 17 total files, 0 missing files
bc: 12 total files, 0 missing files
bind: 343 total files, 0 missing files
binutils: 413 total files, 0 missing files
bison: 329 total files, 0 missing files
bitwarden: 51 total files, 0 missing files
blas: 11 total files, 0 missing files
bluez-libs: 20 total files, 0 missing files
boost: 16834 total files, 0 missing files
boost-libs: 101 total files, 0 missing files
